Fuel Surcharge,1,$20.00,Taxable,$20.00
TYLENOL - CHILDREN BERRY FEVER & PAIN AGE 2-11,1 PK,$9.02,Taxable,$9.02
1X100 ML,,,,
064541314149,,,,
MONSTER ZERO ULTRA BLUE 12X473 ML,1 PK,$32.92,Taxable,$32.92
070847018902,,,,
FERRERO ROCHER CHOCOLATE T3 12X32 G,1 PK,$22.16,Taxable,$22.16
00062020028037,,,,
BUTLER WEAVE MINT WAXED FLOSS 2X12YD,5 PK,$1.61,Taxable,$8.05
070942302159,,,,
JACK LINKS TERIYAKI BEEF JERKY 1X80 G,8 PK,$7.52,Taxable,$60.16
017082117434,,,,
SPEED STICK MENNEN ORIGINAL DEOD 1X70 G,6 PK,$4.53,Taxable,$27.18
058000002494,,,,
JACK LINKS ORIGINAL BEEF JERKY 1X80 G,8 PK,$7.52,Taxable,$60.16
017082117274,,,,
CANADA DRY GINGER ALE 24X500 ML,3 PK,$39.72,Taxable,$119.16
062100000007,,,,
RITTER SPORT-BUTTER BISCUIT 11X100 G,1 PK,$36.30,Taxable,$36.30
00050255214004,,,,
CHAPSTICK - CLASSIC CHERRY LIP BALM 1X1 EA,7 PK,$1.93,Taxable,$13.51
MONSTER PUNCH MANGO LOCO 12X473 ML,2 PK,$32.92,Taxable,$65.84
070847029724,,,,
MONSTER ULTRA ZERO 24X473 ML,1 PK,$70.80,Taxable,$70.80
070847018834,,,,
OH HENRY SMALL PEG 8X104 G,1 PK,$25.53,Taxable,$25.53
068000620802,,,,
COCA-COLA CLASSIC 24X500 ML,3 PK,$42.79,Taxable,$128.37
067000004629,,,,
MINUTE MAID ORANGE JUICE 12X355 ML,3 PK,$18.80,Taxable,$56.40
059600070883,,,,
NESTLE - AERO MILK BUBBLES 10X135 G,1 PK,$56.28,Taxable,$56.28
00059800300780,,,,
GRAVOL GINGER LIQUID GELS 1X24 PK,4 PK,$9.88,Taxable,$39.52
058738326763,,,,
ADVIL EXTRA STRENGTH LIQUI-GELS 1X12 PK,5 PK,$7.47,Taxable,$37.35
00062107005012,,,,
MINUTE MAID LEMONADE 12X355 ML,2 PK,$18.80,Taxable,$37.60
059600023681,,,,
